Method Name,Description,Variable Name,Variable Description
main,,,
_03_Create_Sample_Sequences,"Builds actionable source sequences and parallel volume/sample-ID arrays from the normalized sample table. Splits samples into two processing groups based on required sample volume: a 10 L tip group and a 50 L tip group, while also generating destination indexing metadata for downstream diluent additions and final transfer. Key actions: Loops through each table row: Reads SAMPLEID, LABWAREID, INDEX, NORM_SAMPLEVOL, NORM_DILUENTVOL. Adds to ALL sequence. Routes into 10 L or 50 L sequence based on sample volume threshold. Stores sample volumes and sample IDs in parallel arrays. Uses STCC::SetElementBarcodeForSequencePos() to push sample IDs into sample-tracking. Computes destination indexing so later steps can target the correct regions of the dilution plate. Results: Establishes the ordering relationship between sequences, arrays, and destination plate positions.",t_int_SAMPLE_50_DEST_START,[out] Variable with the intager of the sequence start position for samples needing under 50uL transfers
,,t_arr_NORM_SAMPLEVOL_10,[out] Array of Sample Volume needed for 10uL transfers from samples in original plate
,,t_int_SAMPLE_50_DEST_COUNT,[out] Variable with the intager of the number of positions for samples needing under 50uL transfers
,,t_arr_NORM_DILUENTVOL_10,[out] Array of Diluent Volume needed for 10uL sample transfers from samples in original plate
,,t_int_DEST_COUNT_ALL,[out] Variable with the intager of the sequence start position for all samples
,,t_seq_SOURCE_SAMPLES_50,[out] Sequence of 50uL transfers from samples in original plate
,,t_int_DEST_START_ALL,[out] Variable with the intager of the number of positions for all samples
,,t_arr_NORM_SAMPLEVOL_50,[out] Array of Sample Volume needed for 50uL transfers from samples in original plate
,,t_arr_SAMPLEID_SAMPLE_50,[out] Array of Sample IDs for 50uL transfers from samples in original plate
,,t_arr_NORM_DILUENTVOL_50,[out] Array of Diluent Volume needed for 50uL sample transfers from samples in original plate
,,t_int_SAMPLE_10_DEST_START,[out] Variable with the intager of the sequence start position for samples needing under 10uL transfers
,,t_int_SAMPLE_10_DEST_COUNT,[out] Variable with the intager of the number of positions for samples needing under 10uL transfers
,,t_tbl_SAMPLE_SOURCE,[in/out] ArrayTable of samples with their associated information
,,t_seq_SOURCE_SAMPLES_ALL,[out] Sequence of all samples in original plate
,,t_arr_SAMPLEID_SAMPLE_10,[out] Array of Sample IDs for 10uL transfers from samples in original plate
,,t_seq_SOURCE_SAMPLES_10,[out] Sequence of 10uL transfers from samples in original plate
_04_SamplePipette_50uLTips,"Executes the sample transfer step for the large volume group using 50 L tips. Processes the source sequence in channel-aligned batches, performs aspirate/dispense, logs step results into report arrays, and traces aspiration/dispense reports for troubleshooting. Key actions: Sets sequence max/positioning. Aligns channels/tips/source positions via AlignSequences(...). Performs physical pipetting on the instrument. Runs TipPickUp ? Aspirate ? Dispense ? TipEject. Populates reporting arrays via REPORT_ARRAY_STORE::Report_Array_Store(). Captures recoveries and stores results in report arrays. Traces results for audit/debug. Generates trace output: Aspiration report arrays Dispense report arrays SampleID vs drive-adjusted aspirated volume arrays Results: Provides traceable execution and diagnostics for higher-volume transfers. Any sequence/array misalignment will present as incorrect reporting correlation or runtime indexing failures.",t_seq_SOURCE_SAMPLES_50,[out] Sequence of 50uL transfers from samples in original plate
,,t_arr_NORM_SAMPLEVOL_50,[in/out] Array of Volumes to pipette for Samples under 50uL
,,t_arr_SAMPLEID_SAMPLES_50,[in/out] Array of Sample IDs from Samples under 50uL
_05_DiluentPipette_50uLTips,"Adds diluent into the destination dilution plate region corresponding to the 50 L sample group. Processes the destination window in aligned batches, performs aspirate/dispense, logs step results into report arrays, and traces aspiration/dispense reports. Key actions: Sets the dilution plate destination start/count window. Aligns channels/tips/destination positions via AlignSequences(...). Performs physical pipetting on the instrument. Runs TipPickUp ? Aspirate ? Dispense ? TipEject. Populates reporting arrays via REPORT_ARRAY_STORE::Report_Array_Store(). Captures recoveries and stores results in report arrays. Traces aspiration/dispense results for audit/debug. Results: Ensures dilution volumes are applied to the correct destination region for the large-volume cohort. Any mismatch between destination windowing and the diluent volume array will surface as incorrect well fills or runtime indexing issues.",t_int_DEST_START_50,
,,t_int_DEST_COUNT_50,
,,t_arr_NORM_DILUENTVOL_50,
_06_SamplePipette_10uLTips,"Executes the sample transfer step for the small volume group using 10 L low-volume tips. Processes the source sequence in channel-aligned batches, performs aspirate/dispense, logs step results into report arrays, and traces aspiration/dispense reports for troubleshooting. Key actions: Sets sequence max/positioning. Aligns channels/tips/source positions via AlignSequences(...). Performs physical pipetting on the instrument. Runs TipPickUp ? Aspirate ? Dispense ? TipEject. Populates reporting arrays via REPORT_ARRAY_STORE::Report_Array_Store(). Captures recoveries and stores results in report arrays. Traces results for audit/debug. Generates trace output: Aspiration report arrays Dispense report arrays SampleID vs drive-adjusted aspirated volume arrays Results: Any mismatch between expected numeric volumes and the volume array content will surface here as Vector/runtime errors. Produces detailed per-step diagnostic traces for low-volume transfers where performance is most sensitive.",t_seq_SOURCE_SAMPLES_10,[out] Sequence of 10uL transfers from samples in original plate
,,t_arr_NORM_SAMPLEVOL_10,[in/out] Array of Volumes to pipette for Samples under 10uL
,,t_arr_SAMPLEID_SAMPLES_10,[in/out] Array of Sample IDs from Samples under 10uL
_07_DiluentPipette_10uLTips,"Adds diluent into the destination dilution plate region corresponding to the 10 L sample group. Processes the destination window in aligned batches using low-volume tips, logs step results into report arrays, and traces aspiration/dispense reports. Key actions: Sets the dilution plate destination start/count window. Aligns channels/tips/destination positions via AlignSequences(...). Performs physical pipetting on the instrument. Runs TipPickUp ? Aspirate ? Dispense ? TipEject. Populates reporting arrays via REPORT_ARRAY_STORE::Report_Array_Store(). Captures recoveries and stores results in report arrays. Traces aspiration/dispense results for audit/debug. Results: Ensures dilution volumes are applied correctly for the low-volume cohort where accuracy and dispense behavior are most sensitive. Any mismatch between destination windowing and array sizing/order will surface as errors or incorrect dilution patterns.",t_int_SAMPLE_50_DEST_START,
,,t_int_SAMPLE_50_DEST_COUNT,
,,t_arr_NORM_DILUENTVOL_10,
_08_Samples_to_JessPlate,"Transfers the final diluted samples from the dilution plate into the Jess plate. Processes the combined destination region, aligns dilution wells to Jess positions, performs aspirate/dispense, logs step results into report arrays, and traces aspiration/dispense reports. Key actions: Sets the dilution plate destination start/count for the full combined region. Aligns dilution plate wells to Jess plate positions via AlignSequences(...). Performs physical pipetting on the instrument. Runs TipPickUp ? Aspirate ? Dispense ? TipEject. Populates reporting arrays via REPORT_ARRAY_STORE::Report_Array_Store(). Captures recoveries and stores results in report arrays. Traces aspiration/dispense results for audit/debug. Results: Produces the final transfer into Jess consumables with full traceability of aspiration/dispense performance. Any ordering mismatch in the combined destination window will present as wrong Jess well mapping and inconsistent reporting correlation.",t_int_DEST_COUNT_ALL,
,,t_int_DEST_START_ALL,
_0A_Documentation,,t_str_OperatorLastName,
,,t_str_OperatorEmailAddress,
,,t_strVenusReleaseVersion,
,,t_str_UniqueRunID,
,,t_str_OperatorFirstName,
Initalization,"NOTE: CAN NOT TAKE INPUTS OR RETURNS TO ALLOW FOR THIS FUNCTION TO WORK WITH FORK/JOIN LIBRARY Performs method startup initialization for the instrument and runtime environment. Runs the STAR/VANTAGE Initialize command and a firmware command, then reads simulation mode for conditional behavior. Key actions: Executes instrument initialize step (homes axes / prepares modules). Issues a firmware command to lower the detection for the Quad Core Grippers (QCG). Reads Util::GetSimulationMode() into a local runtime flag for the usage in the method. Result: Establishes instrument-ready state before any labware access, sequence building, or pipetting begins.",,
_01_File_In,"Reads the CSV worklist input file and loads each row into an in-memory ArrayTable (t_tbl_SAMPLE_SOURCE). Validates required fields per row and initializes the table with standardized column headers for downstream normalization and tracing. Key actions: Defines input fields (INDEX, LABWARE_ID, SAMPLE_ID, CONC) and opens CSV. For each record: Validates concentration, index, labware id, sample id (fatal if missing). Appends a new row into the ArrayTable. Closes file, removes fields, traces the loaded table via ArrayTable::TraceArrayTablePretty(). Result: Table is created and becomes the single source of truth for sample metadata + later computed volumes.",t_str_filePathIn,[in] filepath string where the worklist resdes
,,t_tbl_SAMPLE_SOURCE,[out] Table array of samples with their associated information
,,t_int_TotalSampleCount,[out] Total number of source samples
OnAbort,,,
_02_Calculate_Normalization,"Calculates normalized transfer volumes for each source sample based on target concentration and desired final volume. Writes computed sample volume and diluent volume back into the ArrayTable columns NORM_SAMPLEVOL and NORM_DILUENTVOL. Key actions: Loops over table rows. Pulls CONCENTRATION and computes: sampleVol = round((TargetConc * FinalVol) / Concentration, 1) dilVol = round(FinalVol - sampleVol, 1) Writes the values back to the table. Traces the updated table for verification. Results: Establishes the numeric values used to decide which tip type to use and how sequences/arrays are built later.",t_tbl_SAMPLE_SOURCE,[in/out] ArrayTable of samples with their associated information
,,t_flt_TargetConc,[in] Target concentration for all samples to normalize to
,,t_flt_FinalVolume_uL,[in] Final volume needed for each sample normalization
